Order_ID,Customer_ID,Customer_Age,Customer_Gender,City,Area,Restaurant_ID,Restaurant_Name,Cuisine_Type,Order_Date,Order_Time,Delivery_Time_Min,Distance_km,Order_Value,Discount_Applied,Final_Amount,Payment_Mode,Order_Status,Cancellation_Reason,Delivery_Partner_ID,Delivery_Rating,Restaurant_Rating,Order_Day,Peak_Hour,Profit_Margin
ORD000029,CUST1044,34,,Delhi,Central,RES220,Restaurant_313,Mexican,03-12-2024,00:00,50,30.37,,100,,Wallet,Delivered,None,DP393,1,3.3,Weekday,,0.12
ORD000030,CUST4477,22,Male,Bangalore,North,RES939,Restaurant_43,Indian,3/27/2024,00:00,245,,2553,50,2503,Wallet,Delivered,None,DP810,4,5,Weekday,FALSE,-0.07
ORD000031,CUST6187,21,Male,Mumbai,East,RES289,Restaurant_25,Arabian,3/14/2024,00:00,298,5.18,,0,,Card,Delivered,None,DP176,2,3.9,Weekday,TRUE,0.35
ORD000032,CUST5261,,Female,Delhi,Central,RES403,Restaurant_270,Italian,12-04-2024,00:00,140,,674,,,Wallet,Cancelled,,DP441,,3.2,Weekday,,0.12
ORD000033,CUST8678,57,Other,Delhi,North,RES263,Restaurant_269,Arabian,2/13/2024,00:00,165,,,100,,UPI,Delivered,None,DP128,4,4.8,Weekday,,0.37
ORD000034,CUST1629,,Male,Bangalore,West,RES910,Restaurant_419,Indian,01-02-2024,00:00,136,35.97,,20,,UPI,Delivered,None,DP712,3,5.1,Weekday,,0.37
ORD000035,CUST5056,,Other,Chennai,South,RES841,Restaurant_172,Mexican,4/13/2024,00:00,24,17.33,,,,Card,Delivered,None,DP674,3,5.1,Weekend,TRUE,0.11
ORD000036,CUST7232,,Male,Bangalore,Central,RES415,Restaurant_300,Arabian,8/20/2024,00:00,245,6.56,999,100,899,,Delivered,None,DP714,3,5.2,Weekday,FALSE,-0.16
ORD000037,CUST6811,,Male,,,RES948,Restaurant_293,Mexican,10/18/2024,00:00,132,8.26,2264,,,,Cancelled,Customer Cancelled,DP275,1,3.8,Weekday,FALSE,0.05
ORD000038,CUST2250,,Female,Bangalore,,RES702,Restaurant_497,Indian,08-10-2024,00:00,29,7.19,,50,,COD,Delivered,None,DP844,5,3.4,Weekend,,0.19
ORD000039,CUST9613,,Other,,East,RES110,Restaurant_500,Mexican,05-06-2024,00:00,31,30.53,672,50,622,COD,Cancelled,None,DP108,2,5.5,Weekday,FALSE,0.38
ORD000040,CUST3555,,Other,Delhi,East,RES229,Restaurant_438,Indian,9/27/2024,00:00,,2.4,,20,,,Delivered,None,DP343,5,4.8,Weekday,,-0.18
ORD000041,CUST5010,,,,Central,RES299,Restaurant_400,Arabian,02-09-2024,00:00,199,,1126,20,1106,UPI,Delivered,None,DP483,,5,Weekday,,0.21
ORD000042,CUST6170,,Female,Bangalore,West,RES391,Restaurant_9,Mexican,9/16/2024,00:00,58,,2017,0,,Wallet,Delivered,None,DP652,,4.8,Weekday,,0.44
ORD000043,CUST7737,58,Female,Hyderabad,South,RES335,Restaurant_15,Chinese,9/21/2024,00:00,262,37.63,870,50,820,Card,Delivered,None,DP900,2,4,Weekend,,0.46
ORD000044,CUST8465,,Male,Chennai,South,RES593,Restaurant_342,Arabian,3/19/2024,00:00,66,25.21,,50,,Wallet,Delivered,None,DP421,5,3.5,Weekday,,0.49
ORD000045,CUST4166,44,,Hyderabad,Central,RES456,Restaurant_238,Chinese,10-10-2024,00:00,63,3.09,,0,,,Delivered,None,DP691,4,5.1,Weekday,FALSE,0.47
ORD000046,CUST6216,59,Female,Hyderabad,North,RES858,Restaurant_346,Chinese,08-12-2024,00:00,,26.37,,20,,,Delivered,None,DP386,4,4.6,Weekday,FALSE,0.19
ORD000047,CUST1019,,Female,Bangalore,Central,RES944,Restaurant_248,Arabian,07-06-2024,00:00,51,9.17,,50,,Card,Delivered,None,DP286,2,3.7,Weekend,,0.22
ORD000048,CUST6889,,Male,Hyderabad,Central,RES310,Restaurant_215,Italian,7/19/2024,00:00,,19.74,4084,300,3784,,Delivered,None,DP100,5,4.5,Weekday,,0.07
ORD000049,CUST6703,26,,Hyderabad,South,RES446,Restaurant_276,Arabian,06-04-2024,00:00,,4.27,557,50,507,Card,Delivered,None,DP876,3,5,Weekday,FALSE,0.19
ORD000050,CUST3667,,,Bangalore,,RES158,Restaurant_103,Arabian,4/13/2024,00:00,236,,,0,,COD,Cancelled,None,DP539,1,3.4,Weekend,,-0.05
ORD000051,CUST7662,,Other,Bangalore,East,RES668,Restaurant_387,Indian,07-05-2024,00:00,154,21.54,4935,20,4915,COD,Delivered,None,DP878,4,4.7,Weekday,,0.46
ORD000052,CUST6754,,Male,,East,RES768,Restaurant_261,,12-12-2024,00:00,,8.89,3438,50,3388,Card,Delivered,None,DP669,,5,Weekday,TRUE,0
ORD000053,CUST1336,,Male,Mumbai,Central,RES424,Restaurant_2,Mexican,8/30/2024,00:00,290,38.13,626,0,,COD,Delivered,None,DP775,4,3.9,Weekday,TRUE,0.3
ORD000054,CUST4116,48,Female,Mumbai,East,RES638,Restaurant_378,Indian,12-11-2024,00:00,30,,4981,0,,Card,Delivered,None,DP204,2,4.1,Weekday,TRUE,-0.15
ORD000055,CUST5383,34,Male,Chennai,,RES736,Restaurant_338,Indian,03-06-2024,00:00,22,8.27,,,,Wallet,Cancelled,Customer Cancelled,DP210,5,5.2,Weekday,FALSE,0
ORD000056,CUST4469,,,Mumbai,South,RES753,Restaurant_450,Mexican,3/23/2024,00:00,33,23.64,,300,,Card,Delivered,None,DP573,1,4.4,Weekend,,0.42
ORD000057,CUST9191,,Other,Delhi,South,RES343,Restaurant_127,Arabian,9/25/2024,00:00,42,6.8,1163,100,1063,Wallet,Delivered,None,DP284,5,3.7,Weekday,FALSE,0.24
ORD000058,CUST3778,26,Other,,,RES468,Restaurant_161,,7/17/2024,00:00,70,,,,,Wallet,Delivered,None,DP384,4,3.4,Weekday,FALSE,0.5
ORD000059,CUST5776,47,Female,Chennai,South,RES640,Restaurant_40,Arabian,1/14/2024,00:00,201,19.49,2336,100,2236,COD,Delivered,None,DP159,5,4,Weekend,TRUE,0.4
ORD000060,CUST1927,19,Female,,East,RES679,Restaurant_219,Mexican,8/13/2024,00:00,50,,857,20,837,Card,Delivered,None,DP852,5,3.1,Weekday,,0.03
ORD000061,CUST4574,27,Female,Chennai,,RES425,Restaurant_188,Italian,05-09-2024,00:00,142,7.07,3400,20,3380,Wallet,Cancelled,None,DP537,5,5.3,Weekday,,0.2
ORD000062,CUST2525,45,Female,Mumbai,Central,RES616,Restaurant_471,Chinese,7/27/2024,00:00,23,31.9,2013,300,1713,COD,Delivered,None,DP625,4,4.7,Weekend,FALSE,0.27
ORD000063,CUST7853,,Other,Bangalore,Central,RES421,Restaurant_397,Mexican,11-02-2024,00:00,,,618,100,518,UPI,Delivered,None,DP429,5,3.7,Weekend,TRUE,-0.19
ORD000064,CUST9846,41,Male,Delhi,North,RES517,Restaurant_413,,5/31/2024,00:00,236,16.64,3938,,,UPI,Delivered,None,DP557,5,4.6,Weekday,TRUE,-0.18
ORD000065,CUST4984,21,Female,Bangalore,North,RES895,Restaurant_454,Mexican,5/27/2024,00:00,,,1120,20,1100,Wallet,Delivered,None,DP755,3,3.2,Weekday,FALSE,-0.14
ORD000066,CUST5477,,,Mumbai,East,RES172,Restaurant_85,,5/13/2024,00:00,150,,881,50,831,,Delivered,None,DP162,1,3.8,Weekday,,-0.2
ORD000067,CUST7439,,Female,Bangalore,,RES173,Restaurant_56,Arabian,05-02-2024,00:00,22,28.95,500,20,480,,Delivered,None,DP161,5,3.6,Weekday,TRUE,0.09
ORD000068,CUST5875,25,Female,Delhi,East,RES482,Restaurant_289,Italian,6/30/2024,00:00,,2.63,,20,,Card,Delivered,None,DP897,1,3.5,Weekend,TRUE,0.31
ORD000069,CUST9761,,Other,Chennai,East,RES555,Restaurant_428,,12-06-2024,00:00,64,30.18,,300,,COD,Delivered,None,DP323,3,3.5,Weekday,FALSE,0.1
ORD000070,CUST9697,,Female,Hyderabad,Central,RES759,Restaurant_373,,09-07-2024,00:00,,,,50,,UPI,Delivered,None,DP678,5,5.4,Weekend,,-0.17
ORD000071,CUST4467,48,,Mumbai,East,RES850,Restaurant_233,,,00:00,273,31.65,,50,,Card,Delivered,None,DP503,2,3.9,Weekday,FALSE,-0.09
ORD000072,CUST6275,,,Delhi,North,RES616,Restaurant_131,Mexican,09-06-2024,00:00,,7.63,,20,,Card,Delivered,None,DP583,1,3.6,Weekday,,0.23
ORD000073,CUST2163,,Male,,South,RES598,Restaurant_139,Italian,1/14/2024,00:00,,,,20,,Wallet,Delivered,None,DP664,1,3,Weekend,,-0.09
ORD000074,CUST9578,24,Other,Hyderabad,Central,RES550,Restaurant_144,Mexican,7/21/2024,00:00,57,6.13,,0,,COD,Cancelled,Customer Cancelled,DP124,3,4.6,Weekend,,-0.08
ORD000075,CUST4510,,,Hyderabad,West,RES704,Restaurant_492,,3/15/2024,00:00,136,24.91,781,20,761,,Delivered,None,DP686,1,3.8,Weekday,FALSE,0.02
ORD000076,CUST7457,19,Other,Delhi,East,RES439,Restaurant_253,Chinese,03-09-2024,00:00,70,,2770,20,2750,Wallet,Delivered,None,DP192,2,3.8,Weekend,,-0.18
ORD000077,CUST9601,,Female,,East,RES322,Restaurant_269,Chinese,2/27/2024,00:00,230,1.28,4754,50,4704,,Delivered,None,DP152,3,4.8,Weekday,FALSE,0.5
ORD000078,CUST1584,,Female,Chennai,North,RES198,Restaurant_447,Italian,11-11-2024,00:00,,29.91,,50,,COD,Delivered,None,DP116,5,4.8,Weekday,FALSE,-0.16
ORD000079,CUST1022,,Other,Hyderabad,,RES807,Restaurant_415,,6/15/2024,00:00,47,6.22,2720,0,,COD,Delivered,None,DP137,,4.8,Weekend,TRUE,0.5
ORD000080,CUST3137,,Female,Mumbai,,RES423,Restaurant_475,Arabian,10-07-2024,00:00,144,30.19,,,,,Delivered,None,DP599,1,3.5,Weekday,,0.45
ORD000081,CUST7873,,Male,Chennai,East,RES460,Restaurant_487,Italian,8/24/2024,00:00,64,,4513,0,,Card,Delivered,None,DP650,2,4.5,Weekend,,0.15
ORD000082,CUST4124,43,Other,Delhi,Central,RES986,Restaurant_293,,6/19/2024,00:00,274,27.64,3628,0,,,Cancelled,None,DP734,5,5.4,Weekday,TRUE,0.08
ORD000083,CUST5182,,Other,Chennai,East,RES528,Restaurant_5,Chinese,7/24/2024,00:00,62,19.73,4901,100,4801,COD,Delivered,None,DP776,1,5,Weekday,FALSE,0.03
ORD000084,CUST7717,,Other,Delhi,North,RES377,Restaurant_420,,04-10-2024,00:00,195,8.39,,50,,UPI,Delivered,None,DP228,5,5.3,Weekday,,0.34
ORD000085,CUST1004,47,Female,Chennai,Central,RES149,Restaurant_412,Arabian,10/16/2024,00:00,143,27.02,3250,100,3150,COD,Delivered,None,DP699,2,5.3,Weekday,FALSE,0.32
ORD000086,CUST4109,55,Female,Bangalore,East,RES459,Restaurant_494,Chinese,8/20/2024,00:00,,4.55,4517,300,4217,UPI,Delivered,None,DP779,3,5,Weekday,FALSE,0.45
ORD000087,CUST6093,29,,Delhi,North,RES939,Restaurant_40,Indian,11/15/2024,00:00,179,35.41,958,300,658,Wallet,Delivered,None,DP706,2,4.1,Weekday,,0.45
ORD000088,CUST4959,35,,Mumbai,Central,RES173,Restaurant_138,Chinese,9/30/2024,00:00,274,39.99,,0,,,Delivered,None,DP871,1,4.6,Weekday,,0.13
ORD000089,CUST6467,,,,North,RES132,Restaurant_466,Italian,4/19/2024,00:00,,,333,20,313,Card,Delivered,None,DP454,,4.1,Weekday,FALSE,-0.14
ORD000090,CUST8379,39,Male,Chennai,North,RES961,Restaurant_215,Indian,01-02-2024,00:00,34,,840,100,740,Wallet,Delivered,None,DP788,2,5.5,Weekday,,0.14
ORD000091,CUST4960,,Female,Mumbai,East,RES758,Restaurant_463,Chinese,9/30/2024,00:00,,,2765,20,2745,,Cancelled,Restaurant Issue,DP775,1,5.2,Weekday,,0.38
ORD000092,CUST8431,31,,Mumbai,West,RES740,Restaurant_470,Italian,6/16/2024,00:00,293,1.32,4233,20,4213,Wallet,Delivered,None,DP754,4,3.7,Weekend,,0.08
ORD000093,CUST4977,20,,Chennai,West,RES918,Restaurant_443,Mexican,8/29/2024,00:00,,9.33,,300,,,Delivered,None,DP913,2,3.7,Weekday,FALSE,0.2
ORD000094,CUST2608,,Male,Hyderabad,Central,RES925,Restaurant_85,Mexican,9/28/2024,00:00,,9.98,591,100,491,Wallet,Delivered,None,DP641,2,3.2,Weekend,,0.05
ORD000095,CUST9324,,Male,,South,RES508,Restaurant_85,,1/27/2024,00:00,,,,,,Card,Cancelled,,DP474,1,4.2,Weekend,TRUE,0.07
ORD000096,CUST4982,22,Male,,East,RES767,Restaurant_186,Indian,5/13/2024,00:00,,2.28,,,,,Delivered,None,DP469,1,3.6,Weekday,,-0.19
ORD000097,CUST4159,,Other,Hyderabad,South,RES704,Restaurant_288,Chinese,08-06-2024,00:00,49,,624,300,324,COD,Cancelled,Restaurant Issue,DP930,4,5.3,Weekday,TRUE,0.22
ORD000098,CUST5254,,,Bangalore,North,RES515,Restaurant_356,Italian,12/26/2024,00:00,31,1.05,,0,,COD,Delivered,None,DP238,1,4.6,Weekday,,0.11
ORD000099,CUST9662,,,,North,RES354,Restaurant_448,Indian,5/30/2024,00:00,,2.55,2270,20,2250,UPI,Delivered,None,DP321,4,4.1,Weekday,FALSE,0.29
ORD000100,CUST5173,,Female,Bangalore,Central,RES543,Restaurant_362,,10/28/2024,00:00,41,,4584,20,4564,COD,Delivered,None,DP909,5,3.6,Weekday,TRUE,-0.13
ORD000101,CUST7649,,Male,Hyderabad,West,RES698,Restaurant_395,Chinese,09-01-2024,00:00,211,7.31,1002,20,982,Wallet,Delivered,None,DP702,,4.4,Weekend,FALSE,0.13
ORD000102,CUST9763,42,,Hyderabad,,RES649,Restaurant_465,Italian,05-04-2024,00:00,41,29.22,,0,,COD,Delivered,None,DP370,3,3.2,Weekend,FALSE,0.32
ORD000103,CUST3099,,,Chennai,South,RES693,Restaurant_240,Chinese,6/30/2024,00:00,149,28.16,,300,,COD,Delivered,None,DP953,1,3.1,Weekend,FALSE,0.41
ORD000104,CUST7259,23,,Bangalore,North,RES332,Restaurant_96,Indian,11-12-2024,00:00,70,36.28,,0,,Card,Delivered,None,DP493,2,3.1,Weekday,,-0.03
ORD000105,CUST8820,,Female,Delhi,South,RES159,Restaurant_229,Mexican,09-11-2024,00:00,20,7.03,187,300,-113,,Delivered,None,DP420,3,4.7,Weekday,FALSE,0.16
ORD000106,CUST8416,29,Female,Mumbai,South,RES585,Restaurant_366,Indian,12-05-2024,00:00,265,29.88,3449,300,3149,,Cancelled,,DP875,,4.2,Weekday,TRUE,0.1
ORD000107,CUST6803,36,,Hyderabad,Central,RES171,Restaurant_490,Chinese,06-04-2024,00:00,52,28.49,3350,100,3250,UPI,Delivered,None,DP481,3,5,Weekday,,0.2
ORD000108,CUST4891,,Female,Bangalore,North,RES104,Restaurant_191,Mexican,4/26/2024,00:00,227,,1145,300,845,UPI,Delivered,None,DP250,2,3.2,Weekday,TRUE,0.34
ORD000109,CUST9119,,Female,Bangalore,Central,RES777,Restaurant_250,Indian,02-07-2024,00:00,148,,,20,,Wallet,Delivered,None,DP880,5,3.3,Weekday,TRUE,0.13
ORD000110,CUST7421,,Female,Hyderabad,South,RES629,Restaurant_308,Chinese,01-04-2024,00:00,31,5.31,996,300,696,Wallet,Delivered,None,DP952,2,5.5,Weekday,FALSE,0.13
ORD000111,CUST9866,,Other,Delhi,,RES507,Restaurant_31,Indian,12/13/2024,00:00,233,27.58,1109,20,1089,Wallet,Delivered,None,DP888,5,4.3,Weekday,FALSE,0.13
ORD000112,CUST3078,,Other,Hyderabad,North,RES275,Restaurant_413,Indian,02-01-2024,00:00,153,18.9,189,20,169,,Delivered,None,DP616,,4.4,Weekday,FALSE,0.34
ORD000113,CUST9730,55,Male,Delhi,Central,RES110,Restaurant_372,Italian,01-08-2024,00:00,130,25.32,2119,50,2069,COD,Delivered,None,DP289,4,5,Weekday,,0.15
ORD000114,CUST1670,,Female,Hyderabad,Central,RES385,Restaurant_114,Chinese,9/20/2024,00:00,67,,2435,300,2135,UPI,Delivered,None,DP445,4,4.4,Weekday,,-0.01
ORD000115,CUST3590,,Female,Delhi,North,RES836,Restaurant_140,Italian,03-02-2024,00:00,,,,0,,COD,Delivered,None,DP621,1,4.4,Weekend,TRUE,-0.11
ORD000116,CUST4431,47,Male,Bangalore,South,RES901,Restaurant_22,Indian,7/18/2024,00:00,141,,620,50,570,COD,Delivered,None,DP559,1,3.2,Weekday,FALSE,0.36
ORD000117,CUST1244,19,,Mumbai,West,RES715,Restaurant_260,,03-10-2024,00:00,226,31.97,940,20,920,,Delivered,None,DP784,1,5.2,Weekend,TRUE,-0.02
ORD000118,CUST9111,41,Male,Mumbai,South,RES837,Restaurant_321,Indian,01-01-2024,,,5.67,758,100,658,UPI,Delivered,None,DP289,,5.3,Weekday,TRUE,0.35
ORD000119,CUST4107,30,,,East,RES828,Restaurant_34,Indian,02-04-2024,00:00,167,5.27,2160,20,2140,UPI,Delivered,None,DP406,1,5.3,Weekend,TRUE,0.33
ORD000120,CUST9633,,Other,Hyderabad,South,RES887,Restaurant_35,Chinese,06-01-2024,00:00,257,8.4,,0,,UPI,Delivered,None,DP374,1,3.2,Weekend,TRUE,0.25
ORD000121,CUST6423,47,,Hyderabad,,RES501,Restaurant_225,Italian,01-08-2024,00:00,289,7.6,610,100,510,Card,Delivered,None,DP259,5,4.4,Weekday,,0.44
ORD000122,CUST5924,24,Male,Hyderabad,Central,RES197,Restaurant_268,Italian,06-09-2024,00:00,145,20.08,4173,0,,COD,Delivered,None,DP692,2,3.8,Weekend,FALSE,0.26
ORD000123,CUST2059,22,Other,Delhi,East,RES104,Restaurant_43,Indian,01-02-2024,00:00,217,,4160,0,,UPI,Delivered,None,DP450,2,4.5,Weekday,TRUE,0.42
ORD000124,CUST8311,,Female,Chennai,South,RES980,Restaurant_458,Mexican,1/26/2024,00:00,,,4825,0,,,Delivered,None,DP650,,3.2,Weekday,TRUE,0.31
ORD000125,CUST7351,55,Male,Hyderabad,,RES330,Restaurant_172,Italian,05-06-2024,,58,31.96,,0,,Card,Delivered,None,DP941,5,3,Weekday,FALSE,0.43
ORD000126,CUST3644,46,Male,Chennai,Central,RES130,Restaurant_495,,8/30/2024,00:00,268,,,300,,Wallet,Cancelled,,DP524,4,5.1,Weekday,,-0.04
ORD000127,CUST8112,30,Female,,East,RES116,Restaurant_480,,7/22/2024,00:00,193,33,,0,,Card,Delivered,None,DP771,5,4.6,Weekday,TRUE,0.31
ORD000128,CUST8652,42,Other,Hyderabad,Central,RES953,Restaurant_363,Indian,10/19/2024,00:00,22,,,50,,,Cancelled,Customer Cancelled,DP647,5,4.7,Weekend,FALSE,0.32
ORD000129,CUST8327,20,Other,Hyderabad,North,RES606,Restaurant_101,Italian,1/15/2024,00:00,264,3.49,675,100,575,COD,Delivered,None,DP211,4,5.3,Weekday,,0.34
ORD000130,CUST5581,40,Male,Hyderabad,East,RES611,Restaurant_148,Mexican,02-07-2024,00:00,,39.7,2972,0,,COD,Delivered,None,DP369,4,4.7,Weekday,,-0.1
ORD000131,CUST7828,,Other,Delhi,West,RES963,Restaurant_259,Indian,6/13/2024,00:00,,22.76,183,20,163,Wallet,Delivered,None,DP571,2,5.3,Weekday,FALSE,0.26
ORD000132,CUST1117,,,Bangalore,West,RES742,Restaurant_403,Mexican,7/19/2024,00:00,31,22.27,,300,,,Delivered,None,DP391,4,4.5,Weekday,FALSE,-0.2
ORD000133,CUST5296,57,Other,Chennai,East,RES772,Restaurant_461,Indian,3/14/2024,00:00,156,,175,300,-125,COD,Delivered,None,DP423,2,3.8,Weekday,,0.12
ORD000134,CUST8049,59,,Chennai,Central,RES147,Restaurant_407,Mexican,11/15/2024,00:00,261,37.93,,0,,COD,Cancelled,None,DP857,5,5.1,Weekday,FALSE,0.09
ORD000135,CUST5179,,Female,Delhi,South,RES373,Restaurant_172,,3/25/2024,00:00,65,,636,50,586,Wallet,Cancelled,,DP157,5,3,Weekday,,0.1
ORD000136,CUST6833,34,Male,Bangalore,North,RES275,Restaurant_287,Indian,11-06-2024,00:00,,6.35,,0,,UPI,Delivered,None,DP115,,5.1,Weekday,FALSE,0.21
ORD000137,CUST2196,,Female,,,RES273,Restaurant_391,Mexican,05-09-2024,00:00,24,6.85,,0,,Wallet,Delivered,None,DP381,3,5.4,Weekday,FALSE,-0.19
ORD000138,CUST3886,49,Male,,West,RES502,Restaurant_81,,01-05-2024,00:00,148,24.14,4505,0,,Wallet,Delivered,None,DP433,2,5.2,Weekday,TRUE,0.45
ORD000139,CUST1999,,Male,Hyderabad,South,RES482,Restaurant_217,Italian,12-09-2024,00:00,,26.84,307,20,287,UPI,Delivered,None,DP177,1,4.9,Weekday,,0.24
ORD000140,CUST5151,,Other,Mumbai,South,RES832,Restaurant_435,Indian,5/23/2024,00:00,50,8.69,2989,50,2939,COD,Delivered,None,DP768,,3.8,Weekday,FALSE,-0.1
ORD000141,CUST3952,,,Delhi,East,RES688,Restaurant_170,Italian,5/22/2024,00:00,,28.01,4359,100,4259,,Delivered,None,DP603,4,4,Weekday,TRUE,0.3
ORD000142,CUST9750,34,Other,Hyderabad,North,RES202,Restaurant_102,Chinese,03-11-2024,00:00,254,24.03,,300,,UPI,Delivered,None,DP962,1,4.3,Weekday,,-0.09
ORD000143,CUST6294,38,Other,Mumbai,West,RES378,Restaurant_32,Italian,09-01-2024,00:00,42,,,20,,COD,Delivered,None,DP869,1,3.1,Weekend,FALSE,0.08
ORD000144,CUST4546,,Female,Hyderabad,West,RES637,Restaurant_397,Italian,10-08-2024,00:00,176,27.32,625,,,,Delivered,None,DP601,5,3.3,Weekday,,0.37
ORD000145,CUST2821,35,Female,Mumbai,West,RES507,Restaurant_403,Indian,10/27/2024,00:00,,3.2,388,50,338,UPI,Delivered,None,DP936,,3.7,Weekend,,-0.04
